Bib_ID,item_barcode,"Nhan đề","Tác giả","Nhà xuất bản","Năm xuất bản"
2,000018308,"Tự động hóa quá trình sản xuất : Giáo trình dành cho sinh viên cơ khí / Trần Văn Địch, ... [và những người khác]","Trần, Văn Địch","Khoa học và kỹ thuật,",2001
3,000017794,"Thiết kế đồ án công nghệ chế tạo máy /  Trần Văn Địch","Trần, Văn Địch","Khoa học và kỹ thuật,",2007
4,000012744,"Các quá trình, thiết bị trong công nghệ hóa chất và thực phẩm.  Nguyễn Bin","Nguyễn, Bin","Khoa học và kỹ thuật,",2007
5,000012426,"Các quá trình, thiết bị trong công nghệ hóa chất và thực phẩm.  Nguyễn Bin","Nguyễn, Bin","Khoa học và kỹ thuật,",2002
6,000000087,"Bài tập hóa học hữu cơ /  Nguyễn Hữu Đĩnh ... [và những người khác]",,"Giáo dục,",2010
7,000000493,"Kỹ thuật mạch điện tử I : Dùng cho sinh viên các trường cao đẳng nghề và trung cấp nghề / Nguyễn Viết Nguyên, Phạm Thị Thu Hương","Nguyễn, Viết Nguyên","Giáo dục,",2010
8,000007011,"Sản xuất linh hoạt FMS và tích hợp CIM /  Trần Văn Địch","Trần, Văn Địch","Khoa học và kỹ thuật,",2011
9,000034920,"Robot Công nghiệp /  Phạm Đăng Phước","Phạm, Đăng Phước","Xây dựng,",2012
327,000012888,"Sổ tay quá trình và thiết bị công nghệ hóa chất : Cơ sở lý thuyết, phương pháp tính toán, tra cứu số liệu và thiết bị. Nguyễn Bin ... [và những người khác]",,"Khoa học và kỹ thuật,",2005
329,000012774,"Kỹ thuật chế biến lương thực.  Bùi Đức Hợi ... [và những người khác]",,"Khoa học và kỹ thuật,",2009
348,000000077,"Trường điện từ - Kiến thức căn bản và bài tập /  Lâm Hồng Thạch ... [và những người khác]","Lâm, Hồng Thạch","Bách khoa Hà Nội,",2014
410,000001454,"Khác biệt để bứt phá /  Jason Fried, David Heinemeier Hansson; Thanh Thảo dịch","Fried, Jason","Tổng hợp TP. Hồ Chí Minh,",2019
411,000001469,"Khách hàng là số một : Không bao giờ là quá muộn để xây dựng một công ty biết hướng đến khách hàng / Ken Blanchard, Jim Ballard, Fred Finch; Hạo Nhiên, Nguyễn Nghệ - biên dịch","Blanchard, Ken","Tổng hợp TP. Hồ Chí Minh,",2017
