patron_record_num,patron_barcode,item_record_num,item_barcode,checkout_gmt,due_gmt
195,02010007,33329,000033247,"2024-02-02 09:45:04",2024-04-25 23:59:00
81,02028011,3956,000007982,"2024-02-05 08:24:48","2024-04-22 23:59:00"
15385,22207200012,31447,000031387,"2024-02-20 10:06:06","2024-03-21 00:00:00"
510,01004078,11863,000017973,"2024-02-20 11:25:14",2024-04-05 00:00:00
93,01004018,24408,000024194,"2024-02-21 09:11:29","2024-04-12 23:59:00"
93,01004018,24677,000023980,"2024-02-21 09:11:34","2024-04-12 23:59:00"
93,01004018,24692,000023956,"2024-02-21 09:11:43","2024-04-12 23:59:00"
93,01004018,32044,000031813,"2024-02-21 09:11:49","2024-04-12 23:59:00"
2690,23208100010,35168,000035210,"2024-02-21 09:17:58","2024-04-12 23:59:00"
2690,23208100010,35128,000035169,"2024-02-21 09:18:01","2024-04-12 23:59:00"
2690,23208100010,35026,000035192,"2024-02-21 09:21:45","2024-04-12 23:59:00"
19959,23208100011,35127,000035168,"2024-02-21 09:22:21","2024-04-12 23:59:00"
19959,23208100011,35169,000035211,"2024-02-21 09:22:24","2024-04-12 23:59:00"
19959,23208100011,35027,000035193,"2024-02-21 09:22:27","2024-04-12 23:59:00"
16281,21102100029,1915,000024496,"2024-02-21 14:21:24","2024-04-08 00:00:00"
16281,21102100029,426,000028847,"2024-02-21 14:21:25","2024-04-08 00:00:00"
15220,23208100006,35028,000035194,"2024-02-21 14:58:53","2024-04-12 23:59:00"
17699,21108100088,31107,000030728,"2024-02-22 11:42:34","2024-04-23 23:59:00"
449,01029038,1381,000000536,"2024-02-23 15:25:55","2024-03-25 00:00:00"
21877,23103200017,29062,000028763,"2024-02-23 16:18:32","2024-04-15 23:59:00"
21877,23103200017,31317,000031099,"2024-02-23 16:18:34","2024-04-15 23:59:00"
21877,23103200017,31307,000031093,"2024-02-23 16:18:40","2024-04-15 23:59:00"
502,01004032,11901,000018433,"2024-02-26 08:38:56","2024-04-05 23:59:00"
3780,22103100064,32277,000031663,"2024-02-26 09:13:54","2024-04-17 23:59:00"
4755,23206101586,34680,000034739,"2024-02-26 11:14:58","2024-03-27 00:00:00"
2690,23208100010,35012,000035205,"2024-02-26 14:45:39","2024-04-12 23:59:00"
582,02031007,29469,000026832,"2024-02-26 16:03:25","2024-04-17 23:59:00"
582,02031007,29169,000026891,"2024-02-26 16:03:31","2024-04-17 23:59:00"
582,02031007,33215,000033237,"2024-02-26 16:03:36","2024-04-17 23:59:00"
359,02019007,9694,000010362,"2024-02-26 16:45:52","2024-03-27 00:00:00"
530,02056003,14219,000015777,"2024-02-27 08:14:18","2024-04-18 23:59:00"
530,02056003,31942,000031802,"2024-02-27 08:14:19","2024-04-18 23:59:00"
21877,23103200017,543,000000940,"2024-02-27 10:47:18","2024-04-18 23:59:00"
21877,23103200017,3675,000002839,"2024-02-27 10:47:21","2024-04-18 23:59:00"
21877,23103200017,2149,000000078,"2024-02-27 10:47:24","2024-04-18 23:59:00"
5081,21109100100,32010,000031533,"2024-02-27 10:57:50","2024-04-18 23:59:00"
82,01004029,25139,000024702,"2024-02-27 11:31:55","2024-04-18 23:59:00"
3266,23203100070,5704,000008347,"2024-02-27 11:59:36","2024-04-28 23:59:00"
3266,23203100070,2001,000001499,"2024-02-27 11:59:45","2024-04-28 23:59:00"
3266,23203100070,1662,000001550,"2024-02-27 11:59:52","2024-04-28 23:59:00"
18690,22104300197,32707,000032424,"2024-02-27 15:51:25","2024-04-18 23:59:00"
19696,20103100500,1712,000000636,"2024-02-27 15:53:18","2024-04-18 23:59:00"
6217,22109100137,31087,000030908,"2024-02-27 16:34:34","2024-04-18 23:59:00"
