patron_record_num,patron_barcode,item_record_num,item_barcode,checkout_gmt,checkin_gmt
1,1,8111,000001816,"2024-03-13 10:28:33","2024-03-13 10:29:26"
1,1,8112,000003439,"2024-03-13 15:11:25","2024-03-13 15:11:42"
1,1,1656,000001551,"2024-03-13 15:12:10","2024-03-13 15:12:20"
1,1,1646,000000221,"2024-03-13 15:12:13","2024-03-13 15:12:20"
1,1,1646,000000221,"2024-03-13 15:35:37","2024-03-13 15:35:46"
1,1,1646,000000221,"2024-03-13 17:27:46","2024-03-21 11:13:19"
1,1,1656,000001551,"2024-03-13 17:27:47","2024-03-21 11:18:14"
1,1,8112,000003439,"2024-03-13 17:27:52","2024-04-02 16:57:26"
15,15,35580,111222,"2024-03-14 20:46:01","2024-03-14 20:46:11"
15,15,35580,111222,"2024-03-14 20:57:02","2024-03-14 20:57:13"
15,15,35580,111222,"2024-03-14 21:01:38","2024-03-14 21:01:45"
692,692,1238,000000181,"2020-05-11 10:28:12","2020-05-11 10:29:00"
692,692,2312,000000180,"2020-05-11 10:28:13","2020-05-11 10:29:00"
692,692,1202,000000184,"2020-05-11 10:28:14","2020-05-11 10:29:00"
692,692,2126,000000182,"2020-05-11 10:28:15","2020-05-11 10:29:00"
692,692,1401,000000183,"2020-05-11 10:28:16","2020-05-11 10:29:00"
692,692,2297,000000185,"2020-05-11 10:28:17","2020-05-11 10:29:00"
408,408,978,000000328,"2020-05-15 08:50:26","2020-07-08 08:21:00"
408,408,2282,000000149,"2020-05-15 08:50:47","2020-07-08 08:21:00"
634,634,805,000000251,"2020-05-19 09:46:45","2020-06-05 10:31:00"
691,691,712,000000781,"2020-05-21 08:01:35","2020-05-21 08:02:00"
691,691,1137,000000783,"2020-05-21 08:53:30","2020-05-21 08:53:00"
691,691,1136,000000782,"2020-05-21 08:53:32","2020-05-21 08:53:00"
691,691,1137,000000783,"2020-05-21 08:54:38","2020-05-21 08:56:00"
691,691,1136,000000782,"2020-05-21 08:54:39","2020-05-21 08:56:00"
691,691,1137,000000783,"2020-05-21 08:57:12","2020-05-21 08:57:00"
691,691,1136,000000782,"2020-05-21 08:57:13","2020-05-21 08:57:00"
691,691,1137,000000783,"2020-05-21 09:00:23","2020-05-21 09:01:00"
691,691,1136,000000782,"2020-05-21 09:00:24","2020-05-21 09:01:00"
691,691,551,000000779,"2020-05-21 09:07:29","2020-05-21 09:07:00"
691,691,712,000000781,"2020-05-21 09:07:30","2020-05-21 09:07:00"
691,691,711,000000780,"2020-05-21 09:07:31","2020-05-21 09:07:00"
691,691,551,000000779,"2020-05-21 09:08:41","2020-05-21 09:09:00"
