id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.contributor.other,dc.contributor.other[],dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.issued[],dc.description,dc.description.abstract,dc.description.abstract[],dc.description.provenance[],dc.description.provenance[en],dc.description.version[],dc.description[],dc.format.extent,dc.format.extent[],dc.identifier.isbn,dc.identifier.isbn[],dc.identifier.issn,dc.identifier.issn[],dc.identifier.other[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso,dc.language.iso[],dc.publisher,dc.publisher[],dc.relation.ispartofseries[],dc.subject,dc.subject[],dc.title,dc.title.alternative,dc.title.alternative[],dc.title[],dc.type,dc.type[],dlc.field1,dlc.khoabiensoan,dlc.maintopic,drm.version.number,dspace.entity.type,dspace.entity.type[vn],dspace.object.owner,organization.address.addressCountry,organization.address.addressLocality,organization.foundingDate,organization.legalName,person.academic.rank,person.birthDate,person.contributor.other,person.displayName,person.email,person.familyName,person.givenName,person.jobTitle,relation.isAuthorOfPublication,relation.isAuthorOfPublication.latestForDiscovery,relation.isOrgUnitOfPerson,relation.isOrgUnitOfPerson.latestForDiscovery,relation.isPersonOfOrgUnit,relation.isPersonOfOrgUnit.latestForDiscovery,relation.isPublicationOfAuthor,relation.isPublicationOfAuthor.latestForDiscovery
0019bb13-566d-44df-9e53-26d3f82965fd,UNETI/372,,"Hoàng, Anh Tuấn||Nguyễn, Hữu Quang",,"Nguyễn, Đức Thiện",,"Nguyễn, Văn Trọng",2024-03-17T03:48:08Z,2024-03-17T03:48:08Z,,2020,,,"-Đồ án cung cấp nhiều kiến thức bổ ích về cánh tay robot cụ thể robot Osacom 6800, Mô hình hóa thành công robot Osacom 6800, Thiết kế thành công đồ gá hàn cho sản phẩm "" trụ quả trám"", Mô phỏng thành công robot hàn sản phẩm "" trụ quả trám''",,"Made available in DSpace on 2024-03-17T03:48:08Z (GMT). No. of bitstreams: 1
zNguyenDucThien.pdf: 2702817 bytes, checksum: ddcef4711cb5b5278b6123ee9977744e (MD5)
  Previous issue date: 2020",,ĐTTS ghi: Trường ĐHKTKTCN,,84 tr.,,,,,22654,https://dlib.uneti.edu.vn/handle/UNETI/763,,,,,,,,Thiết kế và mô hình||Cơ khí||Công nghệ kỹ thuật cơ khí,,,,Thiết kế và mô hình hóa mô phỏng động học robot hàn osacom 6800,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
001b6adb-ffe1-4f36-a8f1-2e51964081bf,UNETI/434,,,,"Jianshe, Chen",,"Rosenthal, Andrew",2024-03-17T04:42:59Z,2024-03-17T04:42:59Z,,2015,,,"The focus of this book is exactly for this need, by addressing various aspects (both technical and practical) of food texture modification and specific needs of disadvantaged consumer groups for texture modified foods. Unlike other textbooks where knowled",,"Made available in DSpace on 2024-03-17T04:42:59Z (GMT). No. of bitstreams: 1
ZModifyfngFoodTexture_Volume1.pdf: 11065886 bytes, checksum: 59e6da3dfe43172716496228af3846e4 (MD5)
  Previous issue date: 2015",,,,265 p.,,9781782423331,,,30546,https://dlib.uneti.edu.vn/handle/UNETI/4157,,,en,,Woodhead Publishing,"Woodhead Publishing Series in Food Science, Technology and Nutrition",,Texture||Process||Food||Công nghệ thực phẩm||Công nghệ thực phẩm,,,,Modifying Food Texture : Volume 1: Novel Ingredients and Processing Techniques. 283,,Sách tham khảo,,,,,,,,,,,,,,,,,,,,,,,,,,,
00246dd5-0438-45e6-9a35-5b153affee02,UNETI/375,,"Nguyễn, Đức Điền",,"Tô, Thành Công",,,2024-03-17T03:59:09Z,2024-03-17T03:59:09Z,,2019,,,,,"Made available in DSpace on 2024-03-17T03:59:09Z (GMT). No. of bitstreams: 1
zToThanhCong.pdf: 3161588 bytes, checksum: ee567ffd40bc5e2da5b1393966d26fed (MD5)
  Previous issue date: 2019",,,,56 tr.,,,,,11552,https://dlib.uneti.edu.vn/handle/UNETI/1650,,,vi,,,,,"Giao thức USS||Kết nối PLC||Biến tần||Điện||Công nghệ kỹ thuật điện, điện tử",,,,Kết nối PLC với các biến tần dùng giao thức USS,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
002c88e8-3593-42da-b35e-2628fb653b44,UNETI/387,,,,"Trịnh, Kiều Tuấn",,"Dương, Hải Nam",2024-03-17T04:29:18Z,2024-03-17T04:29:18Z,,2020,,,,,"Made available in DSpace on 2024-03-17T04:29:18Z (GMT). No. of bitstreams: 1
zTLHT_SucBenVatLieu.pdf: 3060363 bytes, checksum: d89e478ccb51386c3380b5da94ebb1b5 (MD5)
  Previous issue date: 2020",,ĐTTS ghi: Trường ĐH Kinh tế - Kỹ thuật Công nghiệp,,211 tr.,,,,,24278,https://dlib.uneti.edu.vn/handle/UNETI/3705,,,,,,,,Cơ khí||Công nghệ kỹ thuật cơ khí,,,,Tài liệu học tập Sức bền vật liệu,,Tài liệu học tập,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
003d03ff-d125-4458-aaa2-2ee580e4b28c,UNETI/434,,,,"Rahman, M. Shafiur",,,2024-03-17T04:43:24Z,2024-03-17T04:43:24Z,,2007,,,"Give valuable background information on the preservation of fresh food products; preservation using chemicals and microbes; preservation by controlling water, structure, and atmosphere; preservation using heat and energy; enhancing food preservation by in",,"Made available in DSpace on 2024-03-17T04:43:24Z (GMT). No. of bitstreams: 1
zHandbookofFoodPresenvation.pdf: 8692432 bytes, checksum: 2b6abe0c1e8f655d5fcaac8c0fc636ce (MD5)
  Previous issue date: 2007",2nd ed.,,,"xvii, 1068 p.",,9781574446067,,,30602,https://dlib.uneti.edu.vn/handle/UNETI/4180,,,en,,CRC Press,,,Food packaging||Food preservation||Sterilization||Công nghệ thực phẩm||Công nghệ thực phẩm,,,,Handbook of food preservation,,Sách tham khảo,,,,,,,,,,,,,,,,,,,,,,,,,,,
004c8e67-4f53-4645-909f-3797a4403b18,UNETI/370,,"Nguyễn, Thị Mai",,"Vũ, Ngọc Ánh",,,2024-03-17T04:06:12Z,2024-03-17T04:06:12Z,,2019,,,,,"Made available in DSpace on 2024-03-17T04:06:12Z (GMT). No. of bitstreams: 1
zVuNgocAnh.pdf: 1590561 bytes, checksum: 8eb3576266e4e7d08b38a3b8d4960935 (MD5)
  Previous issue date: 2019",,,,89 tr.,,,,,11743,https://dlib.uneti.edu.vn/handle/UNETI/1999,,,vi,,,,,Cho vay tiêu dùng||Ngân hàng thương mại cổ phần quân đội||Tài chính - ngân hàng và bảo hiểm||Tài chính - Ngân hàng,,,,Phát triển hoạt động cho vay tiêu dùng tại ngân hàng thương mại cổ phần quân đội,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
00551264-3b92-4fb1-9900-b373598dad17,UNETI/370,,,,"Cam, Thùy Linh",,"Vũ, Thanh Hương",2024-03-17T04:03:46Z,2024-03-17T04:03:46Z,,2021,,,Tìm hiểu lý luận chung về hiệu quả sử dụng vốn của doanh nghiệp. Thực trạng hiệu quả sử dụng vốn của Công ty Cổ phần Tư vấn Kiến trúc và Đầu tư Xây dựng HDC. Đưa ra một số biện pháp nâng cao hiệu quả sử dụng vốn của Công ty Cổ phần Tư vấn Kiến trúc và Đầu,,"Made available in DSpace on 2024-03-17T04:03:46Z (GMT). No. of bitstreams: 1
zKLTN_TN11A1_VUTHANHHUONG_CAMTHUYLINH.pdf: 1355971 bytes, checksum: e82eb2dc581fc6286a7f8e7947d7f52d (MD5)
  Previous issue date: 2021",,ĐTTS ghi: Trường ĐHKTKTCN,,69 tr.,,,,,26476,https://dlib.uneti.edu.vn/handle/UNETI/1726,,,,,,,,Doanh nghiệp||Công ty cổ phần||Vốn||Tài chính - ngân hàng và bảo hiểm||Tài chính - Ngân hàng,,,,Nâng cao hiệu quả sử dụng vốn tại công ty cổ phần tư vấn kiến trúc và đầu tư xây dựng HDC,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
005ede56-cb0b-4330-a493-daf61c5396cd,UNETI/362,,"Đỗ, Thị Hường",,"Vũ, Phan Ngọc Oanh",,,2024-03-17T04:14:30Z,2024-03-17T04:14:30Z,,,,,,,"Made available in DSpace on 2024-03-17T04:14:30Z (GMT). No. of bitstreams: 1
zVuPhanNgocOanh.pdf: 1688997 bytes, checksum: a75dcf8b1f9629017507583d387a37ec (MD5)",,,,53 tr.,,,,,12148,https://dlib.uneti.edu.vn/handle/UNETI/2745,,,vi,,,,,Thực trạng và giải pháp||Markrting||Hoạt động tín dụng ngân hàng||Quản trị và Marketing||Quản trị kinh doanh,,,,Thực trạng và giải pháp marketing trong các hoạt động tín dụng tại Ngân Hàng TMCP Á Châu - CN Đông Đô,,Khóa luận tốt nghiệp,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
0079abfa-df43-47bf-b648-54b769fdddbc,UNETI/386,,,,"Phạm, Thị Ngoan",,"Nguyễn, Thụy Phương",2024-03-17T03:49:42Z,2024-03-17T03:49:42Z,,2012,,,"Giới thiệu lý luận chung về luật kinh tế , địa vị pháp lý của doanh nghiệp, pháp luật về phá sản, pháp luật về hợp đồng kinh doanh thương mại và giải quyết vấn đề tranh chấp trong kinh doanh.",,"Made available in DSpace on 2024-03-17T03:49:42Z (GMT). No. of bitstreams: 1
zGiaoTrinhLuatKinhTe.pdf: 1276734 bytes, checksum: a52a3a3c3d8919cc475b23b2238c28f7 (MD5)
  Previous issue date: 2012",,ĐTTS ghi: Trường ĐHKTKTCN,,170 tr.,,,,,24324,https://dlib.uneti.edu.vn/handle/UNETI/896,,,vi,,Khoa học và kỹ thuật,,,Luật kinh tế||Giáo trình||Khoa học xã hội||Luật pháp,,,,Giáo trình luật kinh tế : Lưu hành nội bộ,,Sách giáo trình,,,,,Publication,,,,,,,,,,,,,,,,,,,,,,
00a3eca1-ba9c-4d5d-a201-537a661a5ef3,UNETI/434,,,,"Agrawal, Dharma Prakash",,"Qing, An Zeng",2024-03-17T04:40:13Z,2024-03-17T04:40:13Z,,2014,,,"Learn how wireless systems work, how mobility is supported, what the underlying infrastructure is and what interactions are needed among different functional components with INTRODUCTION TO WIRELESS AND MOBILE SYSTEMS, 3e. Focusing on qualitative descript",,"Made available in DSpace on 2024-03-17T04:40:13Z (GMT). No. of bitstreams: 1
zIntroductionToWirelessAndMobileSystems.pdf: 19683774 bytes, checksum: 694ea0858be0d920bccaf5e2c2331c40 (MD5)
  Previous issue date: 2014",3rd ed.,,,"XXVI, 591 p.",,,,,28566,https://dlib.uneti.edu.vn/handle/UNETI/3982,,,en,,Cengage Learning,,,Mobile Systems||Wireless||Điện tử||Công nghệ kỹ thuật điện tử - viễn thông,,,,Introduction to Wireless and Mobile Systems,,Sách ngoại văn,,,,,,,,,,,,,,,,,,,,,,,,,,,
