Bib_ids,Title,Author10,Author11,Author12,Author20,Author21,Author22,Author23,Author24,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,DDC,DDC1,DDC2,Publisher,Publish_year,Lang,Time_create
1,Giáo trình kỹ thuật nguội cơ bản,-1,-1,-1,Trần Văn Hiệu,Giáp Văn Nang,Nguyễn Văn Thành,Nguyễn Trường Giang,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Giáo trình,Kỹ thuật,Nguội,-1,-1,6713,6,671,laođộngxãhội,18,vie,1715834396
2,Tự động hóa quá trình sản xuất :,Trần Văn Địch,-1,-1,Trần Xuân Việt,Nguyễn Trọng Doanh,Lưu Văn Nhang,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Quá trình,Sản xuất,Tự động,-1,-1,670427,6,670,khoahọcvàkỹthuật,23,vie,1715834396
3,Thiết kế đồ án công nghệ chế tạo máy,Trần Văn Địch,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Chế tạo,Chế tạo máy,Công nghệ,Đồ án,Thiết kế,6218,6,621,khoahọcvàkỹthuật,17,vie,1715834396
4,Các quá trình thiết bị trong công nghệ hóa chất và thực phẩm,Nguyễn Bin,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Các quá trình thiết bị,Công nghệ hóa chất và thực phẩm,-1,-1,-1,661,6,661,khoahọcvàkỹthuật,17,vie,1715834396
5,Các quá trình thiết bị trong công nghệ hóa chất và thực phẩm,Nguyễn Bin,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Công nghệ hóa chất,Hóa chất,Quá trình,Thiết bị,-1,661,6,661,khoahọcvàkỹthuật,22,vie,1715834396
6,Bài tập hóa học hữu cơ,-1,-1,-1,Phạm Hữu Điển,Phạm Văn Hoan,Nguyễn Hữu Đĩnh,Đặng Đình Bạch,Lê Thị Anh Đào,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Bài tập,Cơ sở,Hóa,Hóa học,Hóa học hữu cơ,547076,5,547,giáodục,14,vie,1715834396
7,Kỹ thuật mạch điện tử I :,Nguyễn Viết Nguyên,-1,-1,Pham Thị Thu Hương,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Điện tử,Kỹ thuật,Mạch,-1,-1,6213815,6,621,giáodục,14,vie,1715834396
8,Sản xuất linh hoạt FMS và tích hợp CIM,Trần Văn Địch,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Hệ thống sản xuất linh hoạt FMS,Sản xuất tích hợp CIM,-1,-1,-1,67042,6,670,khoahọcvàkỹthuật,13,vie,1715834396
9,Robot Công nghiệp,Phạm Đăng Phước,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Công nghiệp,Robot,-1,-1,-1,629892,6,629,xâydựng,12,vie,1715834396
10,Kế toán tập hợp chi phí sản xuất và tính giá thành sản phẩm tại công ty cổ phần Quốc Tế Sơn Hà,Nguyễn Thị Tuyết Nhung,-1,-1,Nguyễn Ngọc Lan,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Chi phí sản xuất,Kế toán,Sơn hà,Tính giá thành,-1,657,6,657,knxb,5,vie,1715834396
11,Kế toán hàng hóa nguyên vật liệu và công cụ dụng cụ tại Công Ty TNHH Thương mại và Sản xuất Linh An,Nguyễn Thị Nội,-1,-1,Vũ Thị Vân Anh,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Công cụ dụng cụ,Kế toán,Nguyên vật liệu,-1,-1,657,6,657,knxb,5,vie,1715834396
