User_ids,Bib_ids,scoreBR
1,672,3
1,675,2
16050,675,0
1,1981,1
1794,1981,0
17810,1981,0
1,1981,2
399,1981,0
5079,1981,0
11614,1981,0
14264,1981,0
21968,1981,0
23361,1981,0
29165,1981,0
1,1981,2
1,5755,2
15575,5755,1
26114,5755,3
26290,5755,1
1,9379,2
15,9379,5
39970,9379,3
1,9379,2
31047,9379,1
31,371,1
3506,371,1
29301,371,2
31,667,4
35,667,1
3203,667,0
26600,667,0
31,667,1
31,1096,1
2331,1096,1
11448,1096,1
14270,1096,1
23811,1096,1
31,1470,1
31,1479,1
31,1480,1
31,2393,2
4223,2393,3
19675,2393,1
22045,2393,2
35,522,1
35,667,1
3203,667,0
11614,667,0
18784,667,0
18829,667,0
24184,667,0
26600,667,0
48,3291,4
48,6140,4
23542,6140,1
49,8104,3
23542,8104,2
51,367,1
15197,367,1
788,367,0
5539,367,0
10153,367,0
21714,367,0
22142,367,0
22315,367,0
23789,367,0
23811,367,0
51,3297,1
20510,3297,1
54,8104,2
56,654,1
56,2597,1
56,3423,1
56,6117,1
15164,6117,1
57,2399,5
57,2432,5
57,2434,5
4692,2434,1
24371,2434,1
57,2437,5
9625,2437,1
15147,2437,1
57,2503,1
57,5240,5
57,5243,1
57,5257,5
57,5790,5
57,6251,1
2829,6251,1
65,1270,1
65,1270,1
2392,1270,1
5986,1270,1
10405,1270,1
20302,1270,1
21135,1270,1
65,1270,1
1138,1270,1
4691,1270,1
65,1270,1
10405,1270,2
16146,1270,1
78,3107,5
78,6127,1
91,6127,1
78,6137,1
78,6892,5
78,8208,5
79,1163,1
79,1163,1
6710,1163,1
16597,1163,0
25018,1163,0
79,1164,1
6710,1164,1
79,1164,1
10592,1164,0
18993,1164,0
24951,1164,0
27727,1164,0
79,1165,1
24636,1165,0
24751,1165,0
24758,1165,0
24904,1165,0
79,2591,1
10738,2591,1
79,2734,1
79,4886,2
79,6108,1
89,6108,1
691,6108,1
765,6108,1
6069,6108,1
